dim,birth,death,max_scale,max_dim
0,0,4.33632404567747,4.33632404567747,3
0,0,2.4841904145859175,4.33632404567747,3
0,0,2.203411204873759,4.33632404567747,3
0,0,2.150054079660778,4.33632404567747,3
0,0,2.30650725653515,4.33632404567747,3
0,0,1.2894254719373583,4.33632404567747,3
0,0,2.2423669625164444,4.33632404567747,3
0,0,2.6577368091083473,4.33632404567747,3
0,0,1.362433611136892,4.33632404567747,3
0,0,2.73678079111916,4.33632404567747,3
0,0,1.9187338654444765,4.33632404567747,3
0,0,1.7770324297583562,4.33632404567747,3
0,0,1.5981967368484442,4.33632404567747,3
0,0,1.579521371452568,4.33632404567747,3
0,0,1.124506307279042,4.33632404567747,3
0,0,1.4083389436089784,4.33632404567747,3
0,0,1.353558536583382,4.33632404567747,3
0,0,2.329925054229498,4.33632404567747,3
0,0,1.5026927663305611,4.33632404567747,3
0,0,1.9592276814055367,4.33632404567747,3
0,0,2.8157600304847166,4.33632404567747,3
0,0,1.7283803695734534,4.33632404567747,3
0,0,1.4017012480549358,4.33632404567747,3
0,0,1.5415411425233618,4.33632404567747,3
0,0,1.4651744170097656,4.33632404567747,3
0,0,1.568554857155487,4.33632404567747,3
0,0,2.079196441895674,4.33632404567747,3
0,0,1.4288144866953802,4.33632404567747,3
0,0,1.6909138373766823,4.33632404567747,3
0,0,2.2128972024547084,4.33632404567747,3
0,0,2.7340955415128967,4.33632404567747,3
0,0,1.5919668945738108,4.33632404567747,3
0,0,1.4033130809207413,4.33632404567747,3
0,0,1.1713860156519442,4.33632404567747,3
0,0,0.7656327027087702,4.33632404567747,3
0,0,1.1749523167242997,4.33632404567747,3
0,0,1.7915187642164168,4.33632404567747,3
0,0,1.7370160640701728,4.33632404567747,3
0,0,1.5884015023972702,4.33632404567747,3
0,0,2.1204072454349365,4.33632404567747,3
1,1.5908405326430104,1.756091101101977,4.33632404567747,3
1,1.6273045582705765,1.7409803651985034,4.33632404567747,3
1,1.6463885484295138,1.794215585309193,4.33632404567747,3
1,1.7659215479861308,1.8272005083631104,4.33632404567747,3
1,2.238558528198209,2.4849104344624906,4.33632404567747,3
1,2.2913174323002496,2.656415833259864,4.33632404567747,3
1,2.2980401490871447,2.569189253158173,4.33632404567747,3
1,2.3587647262675735,3.0250904294454886,4.33632404567747,3
1,2.435171567684918,2.627462440704659,4.33632404567747,3
1,2.4659484639978912,2.622032667307342,4.33632404567747,3
1,2.483616860216286,2.999660156415501,4.33632404567747,3
1,2.591495521458486,2.752632736287051,4.33632404567747,3
1,2.7084373477532213,2.864359622986517,4.33632404567747,3
1,2.8320679176468704,3.3816433661393632,4.33632404567747,3
1,2.86021682626198,2.8952750622952435,4.33632404567747,3
1,3.1157966502259766,3.55873999084835,4.33632404567747,3
