dim,birth,death,max_scale,max_dim
0,0,8,8,3
0,0,3.282303606356464,8,3
0,0,2.012472745126818,8,3
0,0,2.422447877071165,8,3
0,0,2.3720621413985694,8,3
0,0,2.1701571291615323,8,3
0,0,2.654137112790996,8,3
0,0,2.7411602246422584,8,3
0,0,3.5940287366590438,8,3
0,0,1.1337828932332503,8,3
0,0,1.5216779967893057,8,3
0,0,1.5893918920119803,8,3
0,0,1.3851468272413276,8,3
0,0,1.0925608582697288,8,3
0,0,1.9602576888251242,8,3
0,0,1.7870335106048412,8,3
0,0,2.852546181662954,8,3
0,0,2.3146984464483547,8,3
0,0,2.119912325925187,8,3
0,0,1.4796181597069238,8,3
1,2.472795107726688,2.7701121153755897,8,3
1,2.8256027736175264,2.8416401260082584,8,3
1,3.563783378509503,3.650542035671801,8,3
1,4.026182608567157,4.373156379688486,8,3
