dim,birth,death,max_scale,max_dim
0,0,4.439674999777196,4.439674999777196,3
0,0,2.3203574857397933,4.439674999777196,3
0,0,2.270883090169459,4.439674999777196,3
0,0,2.1319994022005377,4.439674999777196,3
0,0,1.9546862796199715,4.439674999777196,3
0,0,1.459754024142058,4.439674999777196,3
0,0,0.9634471833926663,4.439674999777196,3
0,0,1.6912611574947949,4.439674999777196,3
0,0,1.4628556585571644,4.439674999777196,3
0,0,1.6726779264284282,4.439674999777196,3
0,0,1.315175470846752,4.439674999777196,3
0,0,0.9657414818670905,4.439674999777196,3
0,0,1.5185899418080486,4.439674999777196,3
0,0,1.549737548968467,4.439674999777196,3
0,0,1.4430019174795088,4.439674999777196,3
0,0,1.5545268352300683,4.439674999777196,3
0,0,2.5166646092119795,4.439674999777196,3
0,0,0.8817466048432157,4.439674999777196,3
0,0,1.6917224119124181,4.439674999777196,3
0,0,1.8884658381783987,4.439674999777196,3
0,0,1.3365120243767288,4.439674999777196,3
0,0,1.7561143830246766,4.439674999777196,3
0,0,2.111942118513968,4.439674999777196,3
0,0,1.9183725734967283,4.439674999777196,3
0,0,1.7431536387178204,4.439674999777196,3
0,0,1.6671493701318945,4.439674999777196,3
0,0,1.6974197355351759,4.439674999777196,3
0,0,0.9903098773006259,4.439674999777196,3
0,0,1.244205144053806,4.439674999777196,3
0,0,1.2103107406400597,4.439674999777196,3
0,0,1.674275437985002,4.439674999777196,3
0,0,2.749249500941189,4.439674999777196,3
0,0,1.6882662384276381,4.439674999777196,3
0,0,1.7008902387804543,4.439674999777196,3
0,0,2.3455547193468735,4.439674999777196,3
0,0,1.889196660151459,4.439674999777196,3
0,0,1.763512668843615,4.439674999777196,3
0,0,1.843243808085602,4.439674999777196,3
0,0,1.187754756117866,4.439674999777196,3
0,0,1.7375312053448702,4.439674999777196,3
0,0,1.5557115746979826,4.439674999777196,3
0,0,2.14177049338591,4.439674999777196,3
0,0,2.2494271272494273,4.439674999777196,3
0,0,1.4127363962011237,4.439674999777196,3
0,0,2.228926165216682,4.439674999777196,3
0,0,1.6806781190296938,4.439674999777196,3
0,0,1.9843027205031811,4.439674999777196,3
0,0,1.5995920067860918,4.439674999777196,3
0,0,1.5620793641272013,4.439674999777196,3
0,0,1.407498461518514,4.439674999777196,3
0,0,1.5599743393752714,4.439674999777196,3
0,0,1.246099719199129,4.439674999777196,3
0,0,2.076327195866439,4.439674999777196,3
0,0,3.1980725357707738,4.439674999777196,3
1,1.6704001331499532,1.7524422846661936,4.439674999777196,3
1,1.6991867629736943,1.720211635021151,4.439674999777196,3
1,1.7204305466713876,1.9132470652297189,4.439674999777196,3
1,1.769850594287781,2.081894203129977,4.439674999777196,3
1,2.1952338081133775,2.6164845929671956,4.439674999777196,3
1,2.2817775893922843,3.1739561490702246,4.439674999777196,3
1,2.294920207239596,3.2640397766132137,4.439674999777196,3
1,2.3460507538416415,2.5309106019603442,4.439674999777196,3
1,2.3934238253200006,2.477704963130826,4.439674999777196,3
1,2.4073072234411885,2.4378752849244405,4.439674999777196,3
1,2.410292804702354,2.4326558646682592,4.439674999777196,3
1,2.4934122221150385,3.011701688477436,4.439674999777196,3
1,2.543703604166958,2.8439414652727777,4.439674999777196,3
1,2.565438356024095,2.9910329855653615,4.439674999777196,3
1,2.6204339801100014,2.7239206099199516,4.439674999777196,3
1,2.671865044161084,2.8172583407814606,4.439674999777196,3
1,2.69200294696176,2.8439414652727777,4.439674999777196,3
1,2.7184626646966783,3.097086617170241,4.439674999777196,3
1,2.7789337065079427,2.994364833778034,4.439674999777196,3
1,2.964003419496769,3.1739561490702246,4.439674999777196,3
1,3.193565194183025,3.3617300320714687,4.439674999777196,3
1,3.3394825934322023,3.843155330549436,4.439674999777196,3
2,3.570805157179236,3.923682749996541,4.439674999777196,3
3,4.072700975808825,4.091838521602915,4.439674999777196,3
