avg_H,avg_S,avg_V,var_H,var_S,var_V,hex_code,energy,entropy,contrast,loc_x,loc_y
91.42012769330148,0.18412274135343173,0.206444591493125,8132.253147378806,0.011913809411697248,0.02550898464624105,#32302D,26272.54552673414,-19166.80852090334,5.213226131567121,129,129
136.63688620935343,0.17380069477507148,0.23410593264240245,9594.936565656459,0.011471099252213608,0.023605723774209466,#373737,32221.010668027408,-20328.642987629173,5.529908165313384,129,229
153.541243350366,0.13688117325772584,0.2825348025930837,10099.646430938317,0.007310097261588317,0.02513307133903027,#434244,44638.432173043024,-22026.98257518959,5.763773406896583,129,329
164.25868800973655,0.13631691796552442,0.28450576948367806,9326.700728170767,0.006015305662331977,0.023870805004139527,#434345,44478.54765076644,-22420.27780231251,5.581535597502458,129,429
173.86761649008938,0.18170039034684587,0.24225039104954463,7398.434911237557,0.007979073414417835,0.020984792622534186,#37383A,32996.02875356113,-20823.081929073298,5.4310932890556085,129,529
151.2289513786962,0.2219343884280159,0.22176055269721023,9292.86595824563,0.008238116060629106,0.01631181890397761,#333233,25995.242381207376,-21247.607829794866,4.533716217868388,129,629
113.62600945611445,0.24157720244699218,0.21634840918759365,10634.503051210113,0.008383620844516347,0.012320016732879436,#33302E,22889.635988908212,-22730.5657611439,4.023013541665314,129,729
84.63604150069129,0.2455896515204506,0.21253056628486458,9675.218354760063,0.009271859869602644,0.010358136400258141,#342E2B,21217.206262226628,-23868.44295513274,2.4754815061491295,129,829
94.61072452391446,0.1599329662196899,0.21175775916810427,8672.239610804852,0.010195709365044232,0.02396242081365005,#333130,27699.283978105617,-19267.09837835779,5.677903496303483,229,129
141.30292745426144,0.14357584092579792,0.24398665399633487,10710.866147737863,0.009165374896072798,0.01930955655254039,#39393C,33750.97608751866,-21565.130063722172,5.724626143443566,229,229
156.05302073257636,0.11081387744930012,0.2934574123370676,11701.469042392777,0.0035207597305092903,0.020001215859513772,#464549,46275.463037486064,-23435.556364105163,5.2403066537444225,229,329
156.254288757224,0.11389237753030484,0.2881048799480125,11648.990300645264,0.003635589721731353,0.019147793298987727,#454447,44618.41211975515,-23436.10466574051,5.0718948743314405,229,429
179.14046623495838,0.14347311311637848,0.2858576475753741,9642.19206869558,0.008262096541578523,0.02175668838158941,#434347,44358.1944755491,-22634.40623690208,6.1018038677442386,229,529
158.1549146705077,0.17324306554336105,0.2991789518120682,13121.491558452874,0.012560764006153843,0.026038659990655372,#474548,50120.31956039641,-21647.51574624603,6.578054165331156,229,629
103.62610170315014,0.1953261264829445,0.3134232190658213,14459.392252923986,0.014502800522293878,0.03278080298901775,#4E4846,56509.99467988191,-20712.919341707366,7.285870392345048,229,729
52.44061323033514,0.21528975781915846,0.28866780129666064,8846.19914146337,0.013425410619174271,0.032494617838401005,#4A403B,47312.40442551401,-20268.304548089007,6.955930323679727,229,829
128.4767518002056,0.17744334195181807,0.2416803448657696,10507.20329845391,0.012029645370385261,0.02631008232454633,#383739,33628.05647164911,-19925.951519092538,6.392053040841979,329,129
168.2733229799119,0.1490009234082764,0.29665978823208794,10610.79906831319,0.010925743184996938,0.04208947631466352,#45454A,56292.612352593664,-18719.644822194732,9.636985604298669,329,229
159.4896370772888,0.11332527880209362,0.3203401871278572,12979.968140796418,0.004652478311405132,0.040908907280154345,#4D4C4F,62572.36844491171,-20378.365427038247,9.100096512045987,329,329
130.79481842986547,0.11276106600241836,0.2920344640149812,14705.62332238541,0.0037556105008942227,0.026492040811657108,#484546,48656.507574976036,-22107.22226452832,6.968597993109622,329,429
169.7041908789634,0.10690947621240708,0.3414651451581253,15996.487655037374,0.004952618098323619,0.021015505575333444,#545153,60832.16716239409,-24576.56157764504,5.472929491828584,329,529
177.30289372050498,0.10865103453159626,0.37047640506943896,18299.357603372653,0.007937574816450401,0.024627364209479148,#5C585A,73121.34278938272,-24319.215404381597,6.32541952061929,329,629
138.16283513444415,0.12200570889569669,0.3708293812763489,19964.31686780272,0.010522677607797714,0.036769692993034474,#5D5757,78744.74721901133,-22331.37079431452,7.373277952046931,329,729
80.29363387039588,0.1419890878971301,0.3513249669956856,15407.161436001397,0.011122053315817188,0.04682588919202036,#59524E,73836.97069715575,-20825.69880400067,8.709982360500941,329,829
160.68369866639733,0.2282947362437464,0.25924947580509894,9202.961243054127,0.014573590248296391,0.03696424218976937,#393A3E,40009.42113547312,-18008.975745131822,7.598490235093169,429,129
213.0281272144947,0.18010071152253448,0.39342615212294857,6744.781051608869,0.018455158865317373,0.08862130876927238,#5C5D63,108353.8686392905,-17072.293834436226,12.461558280886326,429,229
186.34164223149864,0.1089283030912506,0.4490489681012225,14015.330663705112,0.007998464612220263,0.09174420014452571,#6F6C70,133284.15772888775,-19337.12643592344,12.936609536906346,429,329
132.92883937287723,0.09961536732635376,0.3841504480185388,18584.209215008905,0.004336176280565909,0.06286346371645432,#615C5D,95748.60012982025,-19978.10556985085,10.053457833629357,429,429
153.51258647751212,0.09630229429179245,0.3760321140068618,21592.27685422083,0.0040669791276993885,0.029435077537144437,#5F5A5A,77375.87150479219,-23914.744914831288,7.089505015052805,429,529
168.53901563270742,0.1256692965797239,0.3813674874179865,22800.887924518313,0.017021775611351785,0.023017576222097026,#615959,75206.71488673605,-24904.229328783746,6.029201159611075,429,629
135.74662413971276,0.15700529218436277,0.3708944547705076,21443.194362451693,0.025327016245675467,0.030456151778615794,#5E5653,73331.5647766125,-23478.40895697017,6.637987209348737,429,729
76.8427414937127,0.17528227820383918,0.3623939921015265,14600.414513593154,0.024543366935531094,0.0433903409807802,#5C534E,73654.29508895894,-21771.892401503086,8.16569693549667,429,829
167.40309533758278,0.259640117553018,0.27606764912205706,8467.27511391164,0.014767165252925605,0.059498149037763765,#3C3E43,52323.39725314908,-15010.19069315105,9.629361911023045,529,129
241.668300390063,0.19622510421448314,0.5059203520618532,2422.0119725139684,0.02381320230797766,0.12271716262755591,#777881,172213.36141179898,-18141.64042740738,12.813633903059108,529,229
244.92329082297817,0.08224005810604906,0.6539407017784479,8343.068361184245,0.007916247445203594,0.0779855265608229,#A29FA5,239823.9173871332,-23924.30528856492,11.703482424860528,529,329
198.86501548244044,0.0720850939496887,0.5720859646982231,19423.35809763225,0.0033080788454478995,0.05148516691689275,#908B8E,179956.94986645677,-24529.21849685158,9.520396522434147,529,429
191.70953809348296,0.08610466454389558,0.5126876985862249,20857.434490199634,0.003477943666036542,0.03216650409975626,#7F7A7E,134401.04535372797,-25619.88359230876,7.099038473344285,529,529
162.84331694761315,0.1707804133777894,0.42010705658514375,20932.348979456787,0.028129642076958495,0.03855680872275552,#686060,91308.89510464075,-23483.967782141823,7.634183999371518,529,629
108.19732037080428,0.2278863555633153,0.35764398326969965,17532.280528404975,0.033925375652319865,0.04416443016088377,#5A4F49,68688.52187992276,-21214.147349551844,8.209739062468591,529,729
45.44341626648243,0.25218973132769656,0.38800136203098173,6556.517366059855,0.02951698011827497,0.0635651987627263,#63554A,82744.22354084969,-20052.69520736845,9.02543831220182,529,829
166.85218153483044,0.24465860385769236,0.33443673279998004,8754.144734047442,0.016414168820836156,0.08802346096532442,#4B4C51,80777.04098672376,-14865.563679452196,10.463980694121455,629,129
248.89334852896368,0.17734151439743964,0.5817769279432767,1401.196485875666,0.02401789742742429,0.12211712541542209,#8A8A94,211716.85724607136,-19915.800615329135,12.142073178292513,629,229
276.79885558975036,0.054522851469953976,0.7762469871595628,2989.9848622661725,0.003164498128663473,0.02580589281896529,#C1BDC5,305183.7535593235,-27163.764316526496,7.462187309899327,629,329
245.9807871051603,0.05336497451508628,0.6794017750932982,14232.858030184138,0.0012422564453355254,0.01744754869221163,#ABA5AA,233004.27752363184,-27205.528630623463,5.587491097379198,629,429
219.6718631032238,0.08491571090682036,0.6167034634714156,15757.334520012751,0.0035726509177291367,0.021692813402323027,#959299,182660.04536693066,-27112.113605278082,5.643946993914724,629,529
157.71567473287783,0.2064663220580745,0.4987071689794178,17451.419564536565,0.03276906287002453,0.049176165149144684,#776F71,121685.69598576956,-23638.587590904397,7.906593357620379,629,629
82.20833084318944,0.3108071261919777,0.42780965646716834,12702.050952966703,0.041718814648389425,0.04922967269493818,#6B594F,88110.36004476654,-21876.625052263287,8.818066899914816,629,729
30.790459125440737,0.3550504083176243,0.4553086107491794,2038.6794400408637,0.033676145321870896,0.05572260957414207,#745D4B,96668.35843065972,-21757.03560248411,9.464445556302644,629,829
169.89074299671717,0.221769585171765,0.3916121097260234,9101.088889932364,0.017047074485748163,0.10714300647313127,#5A5A60,107873.57529685511,-15823.361533867921,11.250817646763824,729,129
252.85105591649776,0.15428546302806956,0.6423101209173581,1518.0550507571706,0.02158437443133072,0.11139136647956878,#9999A3,242250.8246045398,-21551.914753577566,11.869726461103523,729,229
274.3116046214888,0.04830541258302603,0.7902496631288891,5177.674736728002,7.31335434223359e-4,0.017472310030893307,#C5C0C8,311455.5766277602,-27586.462024561064,5.093776435095885,729,329
256.65152069487107,0.05434195982742787,0.6601919727451308,14124.139024990545,0.0013404843858968642,0.020472472976000074,#A6A0A5,221592.70799010879,-26949.322656026303,5.928806702181537,729,429
234.41329835326155,0.08276253827717883,0.5940778964161783,15136.907843284842,0.003294941506231415,0.021842307563129538,#908C94,169698.5725957419,-27028.975856945068,5.520604787219861,729,529
168.2237057783262,0.2129078967867731,0.5141874763804294,17701.057254228355,0.03617465411565385,0.037502110554295046,#7C7172,122705.1309142936,-24730.80061842202,7.8137167449083575,729,629
82.2306437030217,0.3684806835477846,0.46775439149603426,12948.102141985115,0.04935371065292739,0.03404395898544889,#755D50,92209.16051895653,-23718.232364313746,8.160167802732069,729,729
26.699034880048973,0.4615643063517952,0.5013141461523367,715.1666752796058,0.03084872183837869,0.030701127257550996,#806049,97751.45271098583,-24188.97904109034,8.197502210388317,729,829
163.79192030758682,0.1911752824048883,0.4503561972261236,10095.261996269443,0.015051328785579498,0.1209306823257236,#69686F,136045.08342000435,-17197.373339887818,11.222697295337342,829,129
248.04501465411832,0.12620748023369405,0.7014222061517608,2365.088893902133,0.015586459009967676,0.09442867950967002,#A8A7B2,270505.68040989625,-23283.904805707567,10.786161792407153,829,229
267.23452888067607,0.05129125758327742,0.7945959313035272,5023.964085532858,5.493764537033487e-4,0.01631042877935454,#C5C0C9,311990.3550157838,-27631.427907651607,4.568220494027617,829,329
246.7354511109558,0.05730748681049093,0.658092818195879,14223.85900620671,0.001401999352699205,0.02374602209774338,#A59FA5,220025.76970316216,-26781.73546844335,5.926134577358232,829,429
227.036994989198,0.08755825425697705,0.5687883535070071,16828.793765842893,0.006489975239391936,0.02100040318988564,#8B868C,155671.82366952306,-26900.2482730516,4.998541162573616,829,529
170.37621817167272,0.2320025218918583,0.5158676906242217,19272.36322003729,0.04446128025605851,0.019554874750762254,#7D706E,115264.14301628793,-26272.789915565445,5.775831624377354,829,629
83.29513931784341,0.42192731816213663,0.44706007037555895,14685.024419044348,0.05267937838769616,0.011098320439822996,#715446,72163.60817475223,-25862.134651840755,5.166083241618884,829,729
22.912423540523015,0.5458830768335494,0.42927565066814627,357.1189944048402,0.017816439148794366,0.005587066589120036,#6D4933,55930.18012667829,-26808.09289431097,3.5465757313696464,829,829
153.16550217549488,0.1570295821316454,0.5035276543053745,11347.628544075222,0.010706763353856381,0.12942551254575205,#78757C,163337.87852485315,-18489.75891491528,10.914286663447381,929,129
236.86211568186593,0.10032766880720201,0.7635575964249953,3348.86990446948,0.007595174782302272,0.07209607603736586,#B6B5C2,298579.420440655,-25073.99482347077,9.717960965302321,929,229
263.2031291683393,0.05908506199653565,0.8205187533082242,2460.174874426581,5.505804806621239e-4,0.012267785144903651,#C8C5D1,323915.35784074804,-27835.752894207122,4.59668929720894,929,329
258.68186638920207,0.06161615295773299,0.6985022705958945,8694.215315608128,0.0013853109857689153,0.02477313718175808,#ACA8B0,242281.40684970707,-26987.53576067998,6.1233114642983555,929,429
240.07558952428695,0.10413956725477316,0.6077752732003185,12783.45034021474,0.01355569370587717,0.021132797300122373,#938E95,174444.50570298027,-26998.007348438492,5.096391861514508,929,529
167.21173225693346,0.23807558941230222,0.5286191861716449,18568.075340240954,0.04429040296974936,0.020413568729023876,#7F7371,120185.35045896824,-26277.155081406894,5.5344449739012624,929,629
78.91569690578591,0.4166094622197907,0.45213847473310814,13671.248118736983,0.050610308976361096,0.012617701487295605,#715548,74492.33800656369,-25742.27722456187,5.177299650738655,929,729
20.597265534307763,0.5388948891368583,0.41240908784595154,312.7813138990725,0.018287051173807356,0.004731845473689032,#694532,50743.42181724354,-26688.630086314206,3.3373699098228093,929,829
