avg_H,avg_S,avg_V,var_H,var_S,var_V,hex_code,energy,entropy,contrast,loc_x,loc_y
157.43583238768525,0.28284823700315376,0.2666319924690493,5283.917163604169,0.016659439717011313,0.013030044263200445,#363E35,30487.80800483194,-25431.11031325056,3.7997836918722574,129,129
146.81335405889627,0.306276150767312,0.3202800416446613,5182.277569390773,0.022174141528576642,0.030588597042066547,#414942,47692.559025882314,-22409.840157238345,7.375514482772951,129,229
141.05336070682,0.33897612686159534,0.3993699864539072,7376.517491294061,0.03836313142200332,0.055117196535684344,#55534D,70290.27396313853,-21456.85285342825,8.926867519170669,129,329
125.0492463897675,0.3808374157135224,0.5256898695828617,8843.118383963625,0.055651948278860525,0.06778727345638137,#76675C,111421.89819044099,-22560.95786407262,9.73586546932986,129,429
103.54242632764606,0.37489161305198143,0.604927595347364,9984.595173141375,0.06820847564225077,0.060859225571837386,#93755F,139583.81095844135,-24360.833953256682,8.633792584431406,129,529
98.53593258160335,0.31650744723919094,0.6253267107990829,9112.870479347499,0.061144315492223836,0.05425909661032403,#99826C,160911.90475518434,-25043.5960014804,7.559091902477045,129,629
92.33934964959522,0.2981051419452083,0.6175405128515697,8622.636850069166,0.049124409676017486,0.05279114880318411,#98856E,165223.61964610798,-25107.012475452735,7.43008607121765,129,729
107.2938621859184,0.25402287608158736,0.5815937603068904,9676.109274461438,0.034545060621938586,0.05665380379218381,#8D8375,161849.69070280646,-24103.49573221787,8.3771622707292,129,829
130.41227070506764,0.25455691876355097,0.540813816480278,9832.328380090663,0.02709502263891066,0.05137838987830613,#7D7D76,144293.50360178426,-23701.596368791128,9.45223752246439,129,929
144.8938766380566,0.29201639457561024,0.32370613736266507,6320.80102792917,0.016305853627455083,0.026828338169433964,#454A3E,47300.70237568558,-23761.064542912263,5.864689543774919,229,129
136.77587822451358,0.3094391424887381,0.4099970936610045,8421.849762578611,0.029841517322004782,0.05115539146444457,#595851,75274.0404465412,-22442.597543310545,8.517696483637891,229,229
126.5545153718349,0.3558105850863396,0.5151530696609974,9645.177282337056,0.04758376753097379,0.06617234538506571,#716763,109840.30245831664,-22428.839641118848,9.769274584710702,229,329
114.94479085197565,0.4165020141193389,0.6029500379842773,7639.882508227172,0.05432580041406982,0.055819024590935566,#83786D,137576.13383376243,-24042.902209362754,8.867224764284295,229,429
87.82852718376066,0.40011852017594246,0.6387855837273516,6028.700963814645,0.06474256903328461,0.049986482517618835,#968069,156011.0374293818,-25079.18583302786,8.845567433263561,229,529
91.24126872486546,0.31128310359617395,0.6421588369181644,7135.913852936236,0.0647668488354808,0.05722637227933387,#9C8974,179786.785437577,-24686.578287705022,9.384877873915574,229,629
91.36580920890351,0.2427678995885482,0.6672788681249423,8796.14319407245,0.052401517500342235,0.050198607398607105,#A69484,205446.63170959623,-25218.65773414193,9.141192626131772,229,729
94.0485585580034,0.17715363395514322,0.7001279204773402,10524.159389665016,0.029916014571830307,0.03240478188239913,#AEA098,229248.27402649418,-26314.090371282564,8.068329392741353,229,829
94.99006420464256,0.19889572647022746,0.6624289334804612,11330.598445503045,0.027833424021303066,0.02987354615958349,#A29693,204386.63191446397,-26042.879057594808,7.6867817303233155,229,929
128.0269794276928,0.3330981374275269,0.4243564270020564,8882.663082113038,0.03045989979462373,0.04551704023923638,#60594A,74047.87738084336,-23821.767983137986,7.030755041608498,329,129
101.49756801834992,0.38917346692078275,0.5159119239756342,10306.198850275578,0.037340988632683564,0.05556589034752243,#7A6152,96858.3416783548,-24243.82539775996,7.558970436420217,329,229
99.91323994719005,0.4490403390968398,0.6020818768240691,12501.403358073954,0.034635173192191886,0.04376503346048223,#8B6760,114864.82208118349,-25036.85965057524,7.165982642310873,329,329
137.1354052685598,0.472233316661856,0.5887687067741448,15188.187295055275,0.0332292413926062,0.03587102707456848,#826361,104552.45725622177,-25065.88779653161,6.855092837822817,329,429
149.425982996761,0.40937094974698457,0.5723423400155381,17063.574422462832,0.05011120193211899,0.039243271338837905,#866561,112681.91641446334,-24030.393731797867,8.962877080991717,329,529
149.08951939000448,0.30656165337985186,0.573716898832388,15715.057530639646,0.05274595416309698,0.049950121229506136,#897270,139455.22506632455,-23079.8470701996,10.027627670745927,329,629
126.00864733345418,0.2091864948501888,0.6308239367148395,13807.286079372572,0.038618472254254105,0.05276976695747785,#9B8A88,189459.39637260835,-24074.91168470845,10.131678637824995,329,729
125.07686588213018,0.16508890644912647,0.6438605444145894,14383.31110795938,0.01791056997657533,0.05594292035073372,#9E9492,206778.83519908244,-24669.743704776894,10.558674212806597,329,829
95.19712719742748,0.22956857667288133,0.6250310895149442,14675.011095621716,0.02399154208755392,0.04985403110401247,#9C8682,179100.4972590699,-24720.88912475093,9.949362762988507,329,929
127.65325988830597,0.31301948979295136,0.4058598800237138,6237.581087122763,0.030932194003601185,0.043120113611866025,#5B5949,73176.12582831059,-23449.266420992346,7.288371557331678,429,129
90.6521345878148,0.38424067941604767,0.523573199813923,7731.239270001529,0.043325344869689815,0.06198626320654986,#80664D,107305.99434183967,-23829.78123921979,8.083461823893698,429,229
84.01396289424983,0.4360292846184526,0.6083639033290495,12604.208257414028,0.03781939830920389,0.0524556540408939,#996954,124457.95958433682,-24773.412327597816,7.8730260025969265,429,329
129.89269322785842,0.4611350529659633,0.5874580933525585,20552.72373594799,0.034732676899554844,0.044060815566311466,#905E53,105154.2126720786,-24727.701066996975,7.544306560469203,429,429
191.70542190454702,0.45633530445480514,0.5120516289302743,20184.89109679628,0.03791837835012308,0.03793827542624729,#764D4F,70497.44765445692,-25452.722674857865,5.374989012177461,429,529
187.18198287402433,0.3901104347801848,0.5327928552153348,15396.813118965189,0.05015989437773391,0.04519762505789864,#755D64,96368.12229328661,-23438.015933396626,8.991206008536064,429,629
147.87201515955203,0.2510488719292883,0.609913495595516,11945.11713947304,0.05138672942228779,0.05676411835028348,#8C8387,171596.31571255403,-23265.70028073929,10.877571167086591,429,729
133.93668691778277,0.15220037101261794,0.5776617419212533,9440.482187945481,0.020630292126199632,0.0729404458808101,#8B8C89,187399.78603012784,-22946.012073879374,11.920148622545224,429,829
111.50278545363922,0.22969217186036348,0.5049869392866081,9169.288218920012,0.026526146420516494,0.06220951596862767,#79746C,134472.85166095506,-22312.498910869643,10.756757730464159,429,929
138.05225654772457,0.24960628048449912,0.33026520120682834,3799.212663977229,0.02134880285189968,0.03608917370020841,#494D40,54097.85383180858,-22638.182919271494,6.924792947221202,529,129
110.42708789052692,0.32619800468055765,0.46817006625206065,5913.7784423139,0.03976699217267729,0.07069526073167065,#6F614B,96539.09161298262,-22512.479132812845,8.58847772721071,529,229
86.40161633790743,0.42974423202491496,0.5909187445209275,9747.003438205456,0.03855674362849986,0.06168665778697855,#926A52,122033.78921906151,-24407.07217757364,7.9683731640699,529,329
111.66579941905144,0.45072996875408294,0.6287403974292407,15973.663032648186,0.04155158417185702,0.04184437215682233,#966C62,128931.41319190034,-24761.95750306452,8.426981461872792,529,429
174.37005971225884,0.4324499341729522,0.5859066605036842,17433.433641482774,0.053837068862516615,0.038392161869382796,#7E636D,109709.05673966453,-23914.62591504526,7.939695590020018,529,529
176.30767161823186,0.35670808672920085,0.6364717935199031,12840.765879033317,0.06590312993363638,0.03030717920520675,#847C8B,152347.23234698345,-24103.591839822628,8.898914411442954,529,629
146.96289688573404,0.24160863080446365,0.6787157722178335,9645.271767959133,0.06014622283699083,0.03776295152114844,#9597A1,210328.59999532855,-24523.526220403422,10.130072008931576,529,729
136.65285086436015,0.18523661648327916,0.5529573260968758,6583.381294873475,0.029650687444149344,0.07244093256466419,#7E8785,174115.74021683526,-22261.97513931796,11.128184329511537,529,829
132.0973809602549,0.24503731365696713,0.40830672652715644,5509.549637128999,0.019130322017593782,0.05034729556145281,#5A6258,91205.09902495862,-21589.091009644962,9.280827877672978,529,929
153.61490626453318,0.22419735756285877,0.2692985213889035,5023.0176945156,0.014192206579608202,0.021679338385432612,#3B4037,37495.451639002524,-22695.689647354542,6.225855287281559,629,129
