avg_H,avg_S,avg_V,var_H,var_S,var_V,hex_code,energy,entropy,contrast,loc_x,loc_y
101.50819002739759,0.4677678723746433,0.6441685747865741,1135.6622373421258,0.014322980035363942,0.0207779054500666,#73995D,152833.89892346214,-27105.026245287365,5.218624777601448,129,129
90.68767553451997,0.49432499570081095,0.6031313056646298,999.9806422213875,0.011035481224779688,0.020875583734935876,#728B4E,129079.95457210572,-27332.01522778484,4.370286944874054,129,229
101.8989637720388,0.5386107682713114,0.6188484544599835,1688.0002810184963,0.013527332204208192,0.022569297123860407,#678D52,125016.34174232915,-27472.901241308024,3.739067259120623,129,329
119.29672221898295,0.559035924173048,0.6039404494405372,2422.5490590127183,0.01700412574303897,0.035911312916728805,#5C875A,116698.47689297005,-26663.053295399055,5.578901171011273,129,429
149.2954688909602,0.5789992717022847,0.5153612929675799,4943.351780390934,0.018864098864103406,0.059073513080149596,#4C6F56,88162.13463738524,-24254.99725628838,7.292767456002949,129,529
186.75958236567035,0.5419918192167007,0.3970538213014164,9554.930164833695,0.02097567690089882,0.059422470271532364,#454847,49454.726265083154,-22189.41928696768,7.218238985783595,129,629
222.60451782909647,0.5007622229682976,0.36106972274594706,9367.169677395683,0.01941387919767267,0.05382250424653678,#413449,33286.49894131724,-22168.803611857795,5.511274592098796,129,729
230.9745839042062,0.4895365734744773,0.37454189536645255,6509.555759628664,0.017576126907430187,0.049280866423551596,#3F3656,36664.778885010295,-21490.020262624847,6.436001191979068,129,829
239.14873523451382,0.4481332871127523,0.3719356306770463,4531.207274189406,0.0236465245473453,0.05985817663235093,#423D5A,50736.40613289028,-18164.052132450717,8.968533612160545,129,929
258.2349182141711,0.3463240709348831,0.3448642258762731,4681.9942605472415,0.028096390601785284,0.09750534026282533,#4B4252,72275.79853960457,-13948.841961303367,11.626148712649723,129,1029
270.81092788843665,0.23201244378607358,0.3535401969838792,4407.498770312443,0.016201947195797897,0.12688883913138854,#564B54,95134.14132948699,-13387.244716080006,12.000461916006376,129,1129
71.64664649712823,0.5553421389054242,0.6530287228822096,2974.398782995526,0.02788779241608651,0.02607854111827147,#897E4F,131378.3978722152,-26516.179692875212,5.924242043567365,229,129
86.58110019321782,0.5797804869619472,0.614831828657215,7100.804253575822,0.01822180995779464,0.02877060026754918,#847243,110196.33126015535,-26700.373544088714,5.2491027094201455,229,229
129.19536534664408,0.5944445668482085,0.6184852066157657,13344.873222269533,0.017129690109528764,0.035885321938245784,#7E724A,109815.80075346948,-26150.59886478065,6.348236323391187,229,329
156.59340847128536,0.5510217769166779,0.66638470131652106,14807.951738492802,0.03332095152305375,0.046977447725590316,#838160,140020.79816155773,-25379.892842157285,8.367957391036539,229,429
161.62558180132268,0.486857994297448,0.6500915096011606,15668.73349931473,0.04255170298782898,0.08124788570751125,#84816E,155670.08303299098,-23247.16438034604,11.133035201639034,229,529
